id,title,release_date,genre_ids,vote_average,popularity,original_language,overview,decada
16288,Creepshow 2,1987-05-01,"[27, 35]",6.2,39.3472,en,"Three macabre tales from the latest issue of a boy's favorite comic book, dealing with a vengeful wooden Native American, a monstrous blob in a lake, and an undying hitchhiker.",1980-1989
12662,Psycho III,1986-04-02,"[27, 9648, 53]",5.6,9.2298,en,"When Maureen Coyle, a suicidal nun who resembles Norman's former victim, Marion Crane, arrives at the motel, all bets are off and ""Mother"" is less than happy.",1980-1989
927,Gremlins,1984-06-08,"[14, 27, 35]",7.137,11.4024,en,"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.",1980-1989
694,The Shining,1980-05-23,"[27, 53]",8.207,10.6156,en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",1980-1989
26198,The Keep,1983-12-16,"[27, 14]",5.6,9.5042,en,"Set during World War II, a German army garrison is sent to guard a mountain pass in a village in Romania's Carpathian mountains and sets up barracks in an ancient stone fortress. Two of the soldiers unwittingly release a mysterious entity that kills or corrupts those within its influence, drawing the attention of a Gestapo commander, a Jewish scholar, and a mysterious traveller.",1980-1989
119592,Nightmare Weekend,1986-05-12,"[27, 878]",3.4,6.1508,en,"A female scientist performs experiments on three college girls that turn them into drooling, murderous mutants.",1980-1989
26675,The Outing,1987-09-11,[27],4.966,9.2282,en,"A group of high schoolers decide to stay in a natural museum after closing hours, but a newly acquired and mysterious lamp hiding a deadly force will turn the fun into horror.",1980-1989
24124,The Burning,1981-05-08,[27],6.2,9.3318,en,"A caretaker at a summer camp is burned when a prank goes tragically wrong. After several years of intensive treatment at hospital, he is released back into society, albeit missing some social skills. What follows is a bloody killing spree with the caretaker making his way back to his old stomping ground to confront one of the youths that accidentally burned him.",1980-1989
8691,Cannibal Ferox,1981-04-24,"[12, 27]",5.4,9.1039,it,"Three friends out to disprove cannibalism meet two men on the run who tortured and enslaved a cannibal tribe to find emeralds, and now the tribe is out for revenge.",1980-1989
87852,Microwave Massacre,1983-08-31,"[35, 27]",4.3,10.3401,en,"Construction worker Donald is having a hard time getting anything good to eat since his wife has decided to only cook gourmet foods. That and her constant harping causes him to snap, so he whacks her. Somewhere in the confusion he comes up with a new use for the microwave oven, and begins to eat much better. Soon he's experimenting with different recipes. And different meats.",1980-1989
19236,Santa Sangre,1989-11-24,"[53, 18, 27]",7.134,9.3858,en,"A former circus artist escapes from a mental hospital to rejoin his armless, cult leader mother, and is forced to enact brutal murders in her name.",1980-1989
21380,Night of the Zombies,1980-11-17,"[27, 878]",5.3,9.4988,it,"A rat causes a chemical leak at a Papua New Guinea research facility, leading a group of eco-terrorists to demand the closure of all facilities. When a team of Interpol commandos are enlisted to eliminate the terrorists, they find themselves embroiled in a zombie outbreak.",1980-1989
3980,Critters,1986-04-11,"[35, 27, 878]",6.5,8.604,en,"Carnivorous aliens arrive unannounced at a Kansas family farm; two intergalactic bounty hunters soon follow, determined to blow them off the planet.",1980-1989
8690,Eaten Alive!,1980-03-19,"[12, 27]",5.3,8.2581,it,"A woman's search for her missing sister leads her to the jungles of New Guinea, where she and an expatriate guide encounter a cult leader and flesh-hungry natives.",1980-1989
18334,Guinea Pig: Devil's Experiment,1985-09-04,[27],4.8,7.9404,ja,Masked thugs torture an innocent woman in increasingly brutal ways.,1980-1989
107983,Golem,1980-03-18,"[18, 878, 27]",6.8,8.2723,pl,"Pernat finds himself in a police interrogation, accused of a murder, and unable to recall any details of the crime, or even his own life. He's released back into a world of raving lunatics and deranged dentists, murderous doctors and scientists who believe the secret of human creation is inside the walls of a cast-iron oven.",1980-1989
30875,Manhattan Baby,1982-08-12,[27],5.06,8.6052,it,"An archaeologist opens an Egyptian tomb and accidently releases an evil spirit. His young daughter becomes possessed by the freed entity and, upon their arrival back in New York, the gory murders begin.",1980-1989
84362,Devil Hunter,1980-12-05,[27],4.413,7.8685,es,"The lovely Laura, on a modelling job in South Africa, is kidnapped by a gang who carry her off into the jungle from where they demand a huge ransom. Two men set off in a helicopter to rescue her, little knowing what horrors Laura is enduring in the meantime in the savage clutches of a primitive and bloodthristy world. Laura's rescuers not only have to face the cruel violence of her captors - but also the horrifying lust for blood of a primitive and cruel god.",1980-1989
170885,Annihilator,1986-04-07,"[878, 27, 10770]",5.0,8.1098,en,"Humanoid killer robots stalk a newspaperman, who has knowledge of their existence. One of the robots is made to look like his girl friend.",1980-1989
